코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A006040	동원산업	식음료	KS	6040
A032580	피델릭스	반도체 관련장비 및 부품	KQ	32580
A367000	플래티어	IT서비스	KQ	367000
A006060	화승인더	섬유 및 의류	KS	6060
A122900	아이마켓코리아	유통	KS	122900
A048870	시너지이노베이션	자동차 및 관련부품	KQ	48870
A033530	세종공업	자동차 및 관련부품	KS	33530
A040160	누리플렉스	유틸리티	KQ	40160
A226340	본느	가정용품	KQ	226340
A234100	세원	자동차 및 관련부품	KQ	234100
A097780	에스맥	IT 장비 및 소재	KQ	97780
A014200	광림	기계	KQ	14200
A030530	원익홀딩스	지주사	KQ	30530
A138080	오이솔루션	통신	KQ	138080
A122640	예스티	디스플레이 장비 및 부품	KQ	122640
A091580	상신이디피	IT 장비 및 소재	KQ	91580
A084110	휴온스글로벌	지주사	KQ	84110
A300080	플리토	IT서비스	KQ	300080
A141000	비아트론	디스플레이 장비 및 부품	KQ	141000
A186230	그린플러스	철강 및 비철강	KQ	186230
A025620	제이준코스메틱	가정용품	KS	25620
A038390	레드캡투어	레저산업	KQ	38390
A337930	브랜드엑스코퍼레이션	섬유 및 의류	KQ	337930
A006120	SK디스커버리	지주사	KS	6120
A290660	네오펙트	의료기기 및 용품	KQ	290660
A000070	삼양홀딩스	지주사	KS	70
A304840	피플바이오	의료기기 및 용품	KQ	304840
A030210	KTB투자증권	금융	KS	30210
A284740	쿠쿠홈시스	가정용품	KS	284740
A363250	진시스템	의료기기 및 용품	KQ	363250
A023150	MH에탄올	식음료	KS	23150
A052670	제일바이오	제약 및 바이오	KQ	52670
A001360	삼성제약	제약 및 바이오	KS	1360
A950190	미투젠	미디어 및 엔터	KQ	950190
A260930	씨티케이	가정용품	KQ	260930
A314130	지놈앤컴퍼니	제약 및 바이오	KQ	314130
A273640	와이엠텍	IT 장비 및 소재	KQ	273640
A111110	호전실업	섬유 및 의류	KS	111110
A009290	광동제약	제약 및 바이오	KS	9290
A041930	동아화성	자동차 및 관련부품	KQ	41930
A053280	예스24	유통	KQ	53280
A071670	에이테크솔루션	기계	KQ	71670
A067010	이씨에스	IT서비스	KQ	67010
A023960	에쓰씨엔지니어링	건설 및 건축자재	KS	23960
A004410	서울식품	식음료	KS	4410
A002420	세기상사	미디어 및 엔터	KS	2420
